"","pid","sex","birth_year","race","hispanic","home_language","US_born","grade_w1","suspension_this_year","ever_suspended","grade_last_suspended","extrav","agree","consc","neuro","open","anger","optimism","anxiety","race_complex","extrav_c","agree_c","consc_c","neuro_c","open_c","anxiety_c","anger_c","optimism_c"
"61","57166019","male",80,"OTHER","no","English","yes","7","no","no",NA,2.25,2.5,2.5,2.5,3,3,2.5,2,"White",-0.804808195862791,-0.40231408745745,-0.481703325477874,-0.456909531290914,-0.307966745221262,-0.855230426813302,-0.0362005760670332,-0.342154359780047
"63","57166463","male",82,"BLACK","no","English",NA,"7","no","yes","6",3,3.25,3,2.5,3.5,3.25,2.25,2.75,"Black",-0.0548081958627913,0.34768591254255,0.018296674522126,-0.456909531290914,0.192033254778738,-0.105230426813302,0.213799423932967,-0.592154359780047
"64","57167951","male",81,"OTHER","no","English","yes","8","no","no",NA,3.5,3,3,3,3.5,3,3.5,2.5,"White",0.445191804137209,0.0976859125425502,0.018296674522126,0.0430904687090861,0.192033254778738,-0.355230426813302,-0.0362005760670332,0.657845640219953
"67","57177419","male",80,"OTHER","no","English","yes","8","no","no",NA,3,3,3.5,2,3.25,3.5,2.75,3,"White",-0.0548081958627913,0.0976859125425502,0.518296674522126,-0.956909531290914,-0.057966745221262,0.144769573186698,0.463799423932967,-0.0921543597800469
"68","57177942","male",78,"OTHER","no","English",NA,"10","no","no",NA,2.75,2.75,3,2.75,3,2.5,2.75,2.75,"White",-0.304808195862791,-0.15231408745745,0.018296674522126,-0.206909531290914,-0.307966745221262,-0.105230426813302,-0.536200576067033,-0.0921543597800469
"69","57178110","male",81,"OTHER","no","English",NA,"7","no","no",NA,2.5,3,2.75,3.5,3,3.25,2.75,2.5,"White",-0.554808195862791,0.0976859125425502,-0.231703325477874,0.543090468709086,-0.307966745221262,-0.355230426813302,0.213799423932967,-0.0921543597800469
"70","57178982","male",80,"BLACK","no","English","yes","9",NA,"no",NA,3.25,2.5,3,3,3.5,3.5,3.25,3.25,"Black",0.195191804137209,-0.40231408745745,0.018296674522126,0.0430904687090861,0.192033254778738,0.394769573186698,0.463799423932967,0.407845640219953
"71","57179591","female",81,"OTHER","no","English","yes","8","no","no",NA,3.25,2.75,2.75,2.75,4.25,3,3,3.25,"White",0.195191804137209,-0.15231408745745,-0.231703325477874,-0.206909531290914,0.942033254778738,0.394769573186698,-0.0362005760670332,0.157845640219953
"72","57185559","male",74,"OTHER","no","English",NA,"12",NA,"yes","10",2.75,3,2.75,2.75,3,2.75,3,3.5,"White",-0.304808195862791,0.0976859125425502,-0.231703325477874,-0.206909531290914,-0.307966745221262,0.644769573186698,-0.286200576067033,0.157845640219953
"73","57186150","female",79,"OTHER","no","English","yes","10","no","no",NA,4,3,3.75,2.25,3,3,3.25,1.75,"White",0.945191804137209,0.0976859125425502,0.768296674522126,-0.706909531290914,-0.307966745221262,-1.1052304268133,-0.0362005760670332,0.407845640219953
"74","57186582","male",78,"OTHER","no","English",NA,"10","no","yes","7",3.25,3.5,3,3,2.5,3,3.25,2.5,"White",0.195191804137209,0.59768591254255,0.018296674522126,0.0430904687090861,-0.807966745221262,-0.355230426813302,-0.0362005760670332,0.407845640219953
"75","57188247","female",79,"BLACK","no","English","yes","10",NA,"no",NA,3,3,3.5,3.5,3.5,3.5,3,3,"Black",-0.0548081958627913,0.0976859125425502,0.518296674522126,0.543090468709086,0.192033254778738,0.144769573186698,0.463799423932967,0.157845640219953
"78","57191909","female",76,"OTHER","no","English","yes","11",NA,"yes","9",3.5,2.75,2.5,2.75,3,3,3.25,2.75,"White",0.445191804137209,-0.15231408745745,-0.481703325477874,-0.206909531290914,-0.307966745221262,-0.105230426813302,-0.0362005760670332,0.407845640219953
"79","57191910","female",81,"OTHER","no","English","yes","7",NA,"no",NA,3.25,2.75,2.25,3,3.5,3,2.75,2.75,"White",0.195191804137209,-0.15231408745745,-0.731703325477874,0.0430904687090861,0.192033254778738,-0.105230426813302,-0.0362005760670332,-0.0921543597800469
"80","57192841","female",80,"OTHER","no","English","yes","9","no","no",NA,3.75,3,3.25,3,4,2.75,2.75,3,"White",0.695191804137209,0.0976859125425502,0.268296674522126,0.0430904687090861,0.692033254778738,0.144769573186698,-0.286200576067033,-0.0921543597800469
"81","57193349","male",78,"BLACK","no","English","yes","10","no","yes","8",1.5,3.25,3.25,4.25,4.5,5,2.25,2.5,"Black",-1.55480819586279,0.34768591254255,0.268296674522126,1.29309046870909,1.19203325477874,-0.355230426813302,1.96379942393297,-0.592154359780047
"83","57196641","male",78,"OTHER","no","English","yes","11","no","yes","11",3.25,3,3,3,3,3,3,3,"White",0.195191804137209,0.0976859125425502,0.018296674522126,0.0430904687090861,-0.307966745221262,0.144769573186698,-0.0362005760670332,0.157845640219953
"84","57197327","male",76,"OTHER","no","English","yes","11","yes","yes","11",2.5,2.75,3,2,2.5,2.75,2,3,"White",-0.554808195862791,-0.15231408745745,0.018296674522126,-0.956909531290914,-0.807966745221262,0.144769573186698,-0.286200576067033,-0.842154359780047
"85","57198440","male",77,"BLACK","no","English","yes","12",NA,"no",NA,3.25,3.5,3,2.5,3.75,3,3,3.5,"Black",0.195191804137209,0.59768591254255,0.018296674522126,-0.456909531290914,0.442033254778738,0.644769573186698,-0.0362005760670332,0.157845640219953
